ID de CHIP;ID de catálogo;ID de catálogo;CONFIGURATION;URL;ID de CHIP;ID de CHIP;LAYOUTDATA;ID of a Catalog;IS_READ_ONLY;Cronomarcador;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZCOT_TRANSPORTISTA:00A9W3E6V8KZWQQGES1YLT08S;X-SAP-UI2-CATALOGPAGE:ZCOT_TRANSPORTISTA;00A9W3E6V8KZWQQGES1YLT08S;"{""tileConfiguration"":""{\""semantic_object\"":\""Z_ZCOT_TRANSPORTISTA\"",\""semantic_action\"":\""ZAccion_ZCOT_TRANSPORTISTA\"",\""display_title_text\"":\""Modificar Transportista\"",\""url\"":\""ZCOT_TRANSPORTISTA\"",\""ui5_component\"":\""\"",\""navigation_provider\"":\""TR\"",\""navigation_provider_role\"":\""\"",\""navigation_provider_instance\"":\""\"",\""target_application_id\"":\""\"",\""target_application_alias\"":\""\"",\""transaction\"":{\""code\"":\""ZCOT_TRANSPORTISTA\""},\""web_dynpro\"":{\""application\"":\""\"",\""configuration\"":\""\""},\""target_system_alias\"":\""S4FIN\"",\""display_info_text\"":\""\"",\""mapping_signature\"":\""*=*\"",\""signature\"":{\""parameters\"":{\""\"":{\""required\"":false}},\""additional_parameters\"":\""allowed\""}}""}";;X-SAP-UI2-CHIP:/UI2/ACTION;;;;;4/3/2022 19:48;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZCOT_TRANSPORTISTA:00A9W3E6V8KZWQQGMUPMZUY86;X-SAP-UI2-CATALOGPAGE:ZCOT_TRANSPORTISTA;00A9W3E6V8KZWQQGMUPMZUY86;"{""tileConfiguration"":""{\""display_icon_url\"":\""\"",\""navigation_use_semantic_object\"":true,\""navigation_target_url\"":\""#Z_ZCOT_TRANSPORTISTA-ZAccion_ZCOT_TRANSPORTISTA?sap-ui-tech-hint=GUI\"",\""navigation_semantic_object\"":\""Z_ZCOT_TRANSPORTISTA\"",\""navigation_semantic_action\"":\""ZAccion_ZCOT_TRANSPORTISTA\"",\""navigation_semantic_parameters\"":\""sap-ui-tech-hint=GUI\"",\""display_search_keywords\"":\""\""}""}";;X-SAP-UI2-CHIP:/UI2/STATIC_APPLAUNCHER;;;;;4/3/2022 19:50;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZCO_BC_ANLS_PC:4CSCWZ77KE7LR6OTGIAVFAICE;X-SAP-UI2-CATALOGPAGE:ZCO_BC_ANLS_PC;4CSCWZ77KE7LR6OTGIAVFAICE;;;X-SAP-UI2-CHIP:/UI2/ACTION;X-SAP-UI2-ADCHIP:X-SAP-UI2-ADCAT:SAP_TC_FIN_CO_INV_BE_APPS:S4FIN:98039B5BCAF01EDBA1DE95989006D627_TM;;;;14/8/2024 20:09;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZCO_BC_ANLS_PC:4CSCWZ77KE7LR6OTH5XKUZIHQ;X-SAP-UI2-CATALOGPAGE:ZCO_BC_ANLS_PC;4CSCWZ77KE7LR6OTH5XKUZIHQ;;;X-SAP-UI2-CHIP:/UI2/ACTION;X-SAP-UI2-ADCHIP:X-SAP-UI2-ADCAT:SAP_TC_FIN_CO_BE_APPS:S4FIN:506B4BC345E01EEBAE8D3C7C32D528F3_TM;;;;14/8/2024 20:10;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZCO_BC_ANLS_PC:4CSCWZ77KE7LR6OTH5XKUZV4U;X-SAP-UI2-CATALOGPAGE:ZCO_BC_ANLS_PC;4CSCWZ77KE7LR6OTH5XKUZV4U;;;X-SAP-UI2-CHIP:/UI2/STATIC_APPLAUNCHER;X-SAP-UI2-ADCHIP:X-SAP-UI2-ADCAT:SAP_TC_FIN_CO_BE_APPS:S4FIN:506B4BC345E01EEBAE8D3C7C32D528F3_AL;;;;14/8/2024 20:10;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZCO_BC_ANLS_PC:4CSCWZ77KE7LR6OTHU892F3OE;X-SAP-UI2-CATALOGPAGE:ZCO_BC_ANLS_PC;4CSCWZ77KE7LR6OTHU892F3OE;;;X-SAP-UI2-CHIP:/UI2/ACTION;X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:SAP_TC_FIN_CO_COMMON:ET090PW4NWFG4MNUHLPDZE1HI;;;;14/8/2024 20:10;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZCO_BC_ANLS_PC:4CSCWZ77KE7LR6OTHU892FGBI;X-SAP-UI2-CATALOGPAGE:ZCO_BC_ANLS_PC;4CSCWZ77KE7LR6OTHU892FGBI;;;X-SAP-UI2-CHIP:/UI2/DYNAMIC_APPLAUNCHER;X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:SAP_TC_FIN_CO_COMMON:ET090PW4NWFG4MNUAQ0B3Y0GR;;;;14/8/2024 20:10;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZCO_BC_ANLS_PC:4CSCWZ77KE7LR6OTIFT8D7LNI;X-SAP-UI2-CATALOGPAGE:ZCO_BC_ANLS_PC;4CSCWZ77KE7LR6OTIFT8D7LNI;;;X-SAP-UI2-CHIP:/UI2/ACTION;X-SAP-UI2-ADCHIP:X-SAP-UI2-ADCAT:SAP_TC_FIN_ACC_BE_APPS:S4FIN:FA163EDF73161ED681D5C19CC1470CFB_TM;;;;14/8/2024 20:11;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZCO_BC_ANLS_PC:4CSCWZ77KE7LR6OTIFT8D7YAM;X-SAP-UI2-CATALOGPAGE:ZCO_BC_ANLS_PC;4CSCWZ77KE7LR6OTIFT8D7YAM;;;X-SAP-UI2-CHIP:/UI2/STATIC_APPLAUNCHER;X-SAP-UI2-ADCHIP:X-SAP-UI2-ADCAT:SAP_TC_FIN_ACC_BE_APPS:S4FIN:FA163EDF73161ED681D5C19CC1470CFB_AL;;;;14/8/2024 20:11;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZCO_BC_ANLS_PC:4CSCWZ77KE7LR6OTJ259UF1B2;X-SAP-UI2-CATALOGPAGE:ZCO_BC_ANLS_PC;4CSCWZ77KE7LR6OTJ259UF1B2;;;X-SAP-UI2-CHIP:/UI2/ACTION;X-SAP-UI2-ADCHIP:X-SAP-UI2-ADCAT:SAP_TC_FIN_CO_BE_APPS:S4FIN:FA163EDF73161EE59DCD12810D6C5BB9_TM;;;;14/8/2024 20:11;
